COG	G1	S	G2	M
A	-0.191693775	-0.174611145	-0.156538554	-0.146561145
B	-0.208250388	-0.114513953	-0.145316279	-0.181524419
C	-0.207870231	-0.205885849	-0.218805031	-0.171662264
D	-0.367330924	-0.313239759	-0.301434337	-0.327799398
E	-0.191543114	-0.166101796	-0.193613772	-0.174895509
F	-0.146166667	-0.13435	-0.181886364	-0.181044697
G	-0.366847222	-0.402419231	-0.425317949	-0.399575321
H	-0.185853889	-0.207421667	-0.216738333	-0.225805833
I	-0.219825926	-0.233776389	-0.263381944	-0.241426389
J	0.046138256	0.044087975	0.036886076	0.053702743
K	-0.182068966	-0.153918678	-0.150248563	-0.154155172
L	-0.337819121	-0.353779457	-0.384576357	-0.386537597
O	-0.126392283	-0.152992283	-0.163726688	-0.149187299
P	-0.26170119	-0.254074405	-0.250194048	-0.238770238
Q	-0.407637415	-0.448938776	-0.412647959	-0.381696939
R	-0.328684482	-0.332703862	-0.315935282	-0.305032777
T	-0.349091468	-0.319913095	-0.307183631	-0.312293452
U	-0.183022977	-0.155264563	-0.149729854	-0.151722816
Z	-0.257092029	-0.182544565	-0.140542391	-0.170513043
