Sample1	Sample2	Sample3	Sample4
2.723499622	5.25488661	-1.934228212	-1.238675117
0.466694113	NA	-1.815175716	-4.686451269
NA	-2.546788129	9.508661087	0.213865758
0.366266807	1.800247442	-6.252000526	12.38548096
-0.601000334	0.521449098	-0.951707507	NA
-0.397611328	NA	2.848807929	2.652612421
5.809633417	2.967835591	3.072613019	2.804144011
NA	2.216412043	-2.164994987	5.700335174
2.463577604	5.379443435	9.912055985	10.42360214
1.626712144	0.596470369	-2.224721173	3.455414041
5.36802658	1.96709084	-1.704931757	-4.960259323
4.054028748	4.906807366	4.398210192	5.609690967
4.992523327	2.083293316	1.354827834	6.305346849
4.224680844	NA	4.336965309	-0.308261913
3.003589372	0.347469587	1.302491389	0.913649197
2.096941321	-2.390375484	1.942413972	-1.519193724
0.960251971	2.365481612	NA	0.83001901
3.645164943	0.985551041	3.374573207	-0.157441567
4.204566679	NA	1.94411692	-0.919733294
NA	1.103116587	-2.78645775	6.750648356
1.276810073	-2.061788495	3.876973596	4.266964609
-0.323935955	0.109089394	1.041304344	NA
0.577167246	-2.463964462	3.821155756	-2.153061554
2.697941832	4.548761812	5.158725519	1.036263108
2.854732896	6.593789274	0.059694353	7.52777102
5.321694135	NA	3.913675068	10.90874538
3.163226912	-2.02843368	-0.986918869	10.38524314
2.286931006	4.03350464	2.431146861	-4.109556521
2.686606157	5.031869169	-5.724742095	12.1768936
0.137017556	0.924390746	5.723755227	0.572287383
