Sample1	Sample2
61.75058253	0
49.05238198	0
86.32879373	53.98524896
47.25404719	52.87651407
36.0911913	44.7256698
65.68364431	10.59124732
0	22.15959375
30.77251494	41.48278003
59.50581159	54.19622458
23.58420138	72.68818668
42.46584602	71.95742353
72.06806098	0
26.53480535	0
40.87081497	0
0	49.17236344
63.13164596	0
54.17525815	0
0	18.66274346
81.73275392	52.32650974
74.48948429	0
42.84326216	0
0	21.69077596
25.71602004	0
0	28.58235741
28.30346055	39.05746252
0	47.88374992
32.94459036	42.63069732
0	73.65813005
61.3879496	0
0	60.14977114
70.77492049	59.18313273
50.84371259	0
42.50489532	0
58.15664127	92.51296768
39.25519714	27.27118757
0	40.3559401
41.17904044	35.89916238
46.30377181	15.26378413
32.70191436	48.63562367
59.89426184	0
0	74.90971053
37.49436791	0
0	70.39712503
0	22.11293793
39.34115819	74.03395804
